dataset,sample_id,salience,alpha,beta,gamma,use_graph,chunking,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge2,rougeL,rouge_backend,reference_count,selected_reference_index,reference_selector,input_tokens,output_tokens,llm_calls,runtime_seconds,chunk_count,topic_count
vn_mds,cluster_1,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4163822525597269,0.39455782312925175,rouge-score,2,1,max_mean_rouge2_rougeL,1976,2983,1,25.609643881907687,3,1
vn_mds,cluster_10,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5330188679245282,0.3563579277864992,rouge-score,2,0,max_mean_rouge2_rougeL,3621,3975,1,35.83661298104562,3,1
vn_mds,cluster_100,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.435814455231931,0.35091496232508074,rouge-score,2,0,max_mean_rouge2_rougeL,4410,4653,1,41.53113517398015,4,1
vn_mds,cluster_101,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.48330914368650213,0.41739130434782606,rouge-score,2,0,max_mean_rouge2_rougeL,2449,2729,1,22.059175528003834,3,1
vn_mds,cluster_102,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4876632801161103,0.4167872648335745,rouge-score,2,0,max_mean_rouge2_rougeL,2059,2353,1,19.528470378019847,3,1
vn_mds,cluster_103,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4133180252583238,0.38258877434135163,rouge-score,2,1,max_mean_rouge2_rougeL,3246,3275,1,29.981300209998153,3,1
vn_mds,cluster_104,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5086206896551724,0.4150537634408602,rouge-score,2,0,max_mean_rouge2_rougeL,2298,3854,1,30.731123749981634,3,1
vn_mds,cluster_105,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4508094645080946,0.3577639751552795,rouge-score,2,1,max_mean_rouge2_rougeL,2367,3092,1,25.081946242018603,3,1
vn_mds,cluster_106,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.47202797202797203,0.4146341463414634,rouge-score,2,1,max_mean_rouge2_rougeL,1830,2977,1,23.816516169928946,3,1
vn_mds,cluster_107,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.49491525423728816,0.4256756756756757,rouge-score,2,0,max_mean_rouge2_rougeL,1613,3131,1,23.98100561602041,3,1
vn_mds,cluster_108,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5702005730659027,0.43142857142857144,rouge-score,2,1,max_mean_rouge2_rougeL,1813,2605,1,20.83510587492492,3,1
vn_mds,cluster_109,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.48936170212765956,0.36870026525198935,rouge-score,2,0,max_mean_rouge2_rougeL,2438,3689,1,29.717264792067,3,1
vn_mds,cluster_11,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.3387978142076503,0.31062670299727524,rouge-score,2,0,max_mean_rouge2_rougeL,1770,3069,1,24.879706945968792,2,1
vn_mds,cluster_110,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5006993006993007,0.5160390516039052,rouge-score,2,0,max_mean_rouge2_rougeL,2010,3841,1,29.86036282707937,3,1
vn_mds,cluster_111,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.558490566037736,0.575187969924812,rouge-score,2,1,max_mean_rouge2_rougeL,1010,1672,1,13.18014780303929,3,1
vn_mds,cluster_112,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.3692762186115214,0.3181148748159057,rouge-score,2,1,max_mean_rouge2_rougeL,1986,3912,1,29.520030793035403,3,1
vn_mds,cluster_113,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.48773006134969327,0.46483180428134563,rouge-score,2,0,max_mean_rouge2_rougeL,2139,3901,1,30.143706465954892,3,1
vn_mds,cluster_114,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.39012345679012345,0.3201970443349753,rouge-score,2,0,max_mean_rouge2_rougeL,2205,3292,1,26.48319357004948,3,1
vn_mds,cluster_115,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.40071877807726863,0.3246636771300449,rouge-score,2,1,max_mean_rouge2_rougeL,4440,4411,1,39.73978130694013,3,1
vn_mds,cluster_116,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5393743257820928,0.5037674919268029,rouge-score,2,1,max_mean_rouge2_rougeL,2947,2663,1,25.257611487992108,3,1
vn_mds,cluster_117,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.44075304540420823,0.3779005524861878,rouge-score,2,1,max_mean_rouge2_rougeL,2470,3392,1,27.5542329660384,3,1
vn_mds,cluster_118,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.36077481840193704,0.2946859903381642,rouge-score,2,0,max_mean_rouge2_rougeL,3854,3330,1,34.17302330303937,3,1
vn_mds,cluster_119,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4574468085106383,0.35013262599469497,rouge-score,2,1,max_mean_rouge2_rougeL,3234,3157,1,27.81947401596699,3,1
vn_mds,cluster_12,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.3112947658402204,0.24999999999999994,rouge-score,2,1,max_mean_rouge2_rougeL,1909,3048,1,25.062775175087154,2,1
vn_mds,cluster_120,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.36885245901639346,0.28337874659400547,rouge-score,2,1,max_mean_rouge2_rougeL,3058,2854,1,25.765140336938202,3,1
vn_mds,cluster_121,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.41338582677165353,0.30980392156862746,rouge-score,2,1,max_mean_rouge2_rougeL,2002,2275,1,18.726926387054846,3,1
vn_mds,cluster_122,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.3938356164383562,0.3549488054607509,rouge-score,2,1,max_mean_rouge2_rougeL,2475,3077,1,24.44729268993251,3,1
vn_mds,cluster_123,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4135593220338983,0.3878241262683202,rouge-score,2,1,max_mean_rouge2_rougeL,3923,3642,1,32.634175567072816,3,1
vn_mds,cluster_124,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4114285714285714,0.39886039886039887,rouge-score,2,0,max_mean_rouge2_rougeL,2383,2664,1,22.24668510397896,3,1
vn_mds,cluster_125,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.47156726768377255,0.36237897648686035,rouge-score,2,0,max_mean_rouge2_rougeL,2605,2885,1,24.716369525063783,3,1
vn_mds,cluster_126,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.37086092715231783,0.31968295904887717,rouge-score,2,0,max_mean_rouge2_rougeL,2272,2696,1,22.291231374023482,3,1
vn_mds,cluster_127,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4201117318435754,0.3299888517279822,rouge-score,2,0,max_mean_rouge2_rougeL,3756,2907,1,29.033446509973146,3,1
vn_mds,cluster_128,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4216366158113731,0.30982019363762103,rouge-score,2,1,max_mean_rouge2_rougeL,3429,3523,1,30.87093031697441,3,1
vn_mds,cluster_129,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.3829296424452133,0.3383199079401611,rouge-score,2,1,max_mean_rouge2_rougeL,2288,4103,1,32.663476199959405,2,1
vn_mds,cluster_13,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4525993883792049,0.34587995930824006,rouge-score,2,0,max_mean_rouge2_rougeL,1917,2855,1,22.864787402912043,3,1
vn_mds,cluster_130,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.31927710843373497,0.34234234234234234,rouge-score,2,0,max_mean_rouge2_rougeL,2488,3191,1,25.98148683796171,3,1
vn_mds,cluster_131,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.44128113879003555,0.3475177304964539,rouge-score,2,0,max_mean_rouge2_rougeL,2141,3372,1,27.11684799392242,3,1
vn_mds,cluster_132,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5865490628445424,0.536853685368537,rouge-score,2,0,max_mean_rouge2_rougeL,2225,2971,1,22.5336866970174,3,1
vn_mds,cluster_133,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.3908571428571429,0.35119726339794755,rouge-score,2,1,max_mean_rouge2_rougeL,2769,3618,1,29.78194769693073,3,1
vn_mds,cluster_134,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.494148244473342,0.38651102464332043,rouge-score,2,0,max_mean_rouge2_rougeL,2952,2660,1,22.962751961080357,3,1
vn_mds,cluster_135,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.40384615384615385,0.3304904051172708,rouge-score,2,0,max_mean_rouge2_rougeL,3479,3920,1,34.49084348999895,3,1
vn_mds,cluster_136,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5007874015748032,0.3930817610062893,rouge-score,2,1,max_mean_rouge2_rougeL,2609,3809,1,32.327581453020684,3,1
vn_mds,cluster_137,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4092116917626218,0.35190097259062775,rouge-score,2,0,max_mean_rouge2_rougeL,2720,4179,1,31.900429517030716,3,1
vn_mds,cluster_138,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.507628294036061,0.42876901798063627,rouge-score,2,1,max_mean_rouge2_rougeL,2051,3736,1,29.76684566703625,3,1
vn_mds,cluster_139,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4602803738317757,0.43822843822843827,rouge-score,2,0,max_mean_rouge2_rougeL,2034,3285,1,25.141819842043333,3,1
vn_mds,cluster_14,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4324942791762013,0.3972602739726027,rouge-score,2,0,max_mean_rouge2_rougeL,2141,2380,1,20.186254789936356,3,1
vn_mds,cluster_140,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5452653485952134,0.47767393561786087,rouge-score,2,1,max_mean_rouge2_rougeL,2163,2619,1,20.898740923963487,3,1
vn_mds,cluster_141,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.39271781534460337,0.34241245136186765,rouge-score,2,0,max_mean_rouge2_rougeL,2979,3719,1,30.232344427960925,3,1
vn_mds,cluster_142,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.47878787878787876,0.40322580645161293,rouge-score,2,0,max_mean_rouge2_rougeL,3672,3308,1,31.473902288009413,3,1
vn_mds,cluster_143,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.49867374005305043,0.40211640211640215,rouge-score,2,0,max_mean_rouge2_rougeL,2089,2685,1,21.3685470049968,3,1
vn_mds,cluster_144,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.41430073606729756,0.3378803777544596,rouge-score,2,1,max_mean_rouge2_rougeL,6668,3156,1,35.22154834901448,4,1
vn_mds,cluster_145,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4548104956268222,0.31037827352085356,rouge-score,2,0,max_mean_rouge2_rougeL,5186,4607,1,39.72716071503237,4,1
vn_mds,cluster_146,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.3996138996138996,0.3333333333333333,rouge-score,2,0,max_mean_rouge2_rougeL,2406,2857,1,24.45336258795578,3,1
vn_mds,cluster_147,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4287268770402612,0.3474484256243214,rouge-score,2,0,max_mean_rouge2_rougeL,3253,3112,1,28.343065102002583,3,1
vn_mds,cluster_148,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.39641434262948205,0.3876739562624254,rouge-score,2,0,max_mean_rouge2_rougeL,2872,3864,1,31.59480225702282,3,1
vn_mds,cluster_149,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5135699373695198,0.3625,rouge-score,2,0,max_mean_rouge2_rougeL,1804,3093,1,24.294518009060994,3,1
vn_mds,cluster_15,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4617996604414262,0.36779661016949156,rouge-score,2,0,max_mean_rouge2_rougeL,2552,3781,1,29.518005575053394,3,1
vn_mds,cluster_150,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4327868852459016,0.35768811341330425,rouge-score,2,0,max_mean_rouge2_rougeL,3203,3896,1,31.92621743294876,3,1
vn_mds,cluster_151,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.40794979079497906,0.290187891440501,rouge-score,2,0,max_mean_rouge2_rougeL,3127,5226,1,40.698156980914064,3,1
vn_mds,cluster_152,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4301270417422867,0.3115942028985507,rouge-score,2,0,max_mean_rouge2_rougeL,2550,2811,1,23.856444196077064,3,1
vn_mds,cluster_153,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.40115163147792704,0.3160919540229885,rouge-score,2,1,max_mean_rouge2_rougeL,2900,4176,1,32.73763466300443,3,1
vn_mds,cluster_154,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.39952153110047844,0.360381861575179,rouge-score,2,0,max_mean_rouge2_rougeL,3572,4162,1,33.60006355098449,3,1
vn_mds,cluster_155,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.5142857142857142,0.46947082767978293,rouge-score,2,0,max_mean_rouge2_rougeL,1647,3246,1,24.40376171201933,3,1
vn_mds,cluster_156,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4494773519163763,0.3756521739130435,rouge-score,2,0,max_mean_rouge2_rougeL,2494,4180,1,31.902247613994405,3,1
vn_mds,cluster_157,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4100502512562814,0.33901705115346037,rouge-score,2,0,max_mean_rouge2_rougeL,2843,4051,1,31.69507655198686,3,1
vn_mds,cluster_158,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.40205128205128204,0.3398157625383828,rouge-score,2,0,max_mean_rouge2_rougeL,4629,3466,1,30.66706001001876,4,1
vn_mds,cluster_159,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.39698492462311563,0.3010033444816054,rouge-score,2,0,max_mean_rouge2_rougeL,4539,3931,1,36.882956098997965,4,1
vn_mds,cluster_16,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.41280353200883,0.34801762114537443,rouge-score,2,1,max_mean_rouge2_rougeL,3539,3736,1,30.482417845050804,5,1
vn_mds,cluster_160,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.28322981366459626,0.25774473358116484,rouge-score,2,0,max_mean_rouge2_rougeL,4577,6315,1,51.435948146972805,3,1
vn_mds,cluster_161,e1,0.1,0.2,0.7,True,semantic,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.85,0.4511278195488722,0.3895131086142322,rouge-score,2,1,max_mean_rouge2_rougeL,1769,3351,1,24.572539854911156,3,1
